R,G,B,cluster
-0.5135113185494392,-1.1689239206121775,-1.3467934867348514,фальсификат
0.04486992103830051,-1.0664429193530278,-0.2718018601346979,фальсификат
0.2841761665759032,-1.3738859231304772,-0.6627079061711174,фальсификат
-0.9921238096246446,0.16332909575677002,1.8781813930656093,кокосовое
0.6830199091385745,1.0856581070891185,0.05395317822898498,сливочное
0.4437136636009717,0.8806961045708188,0.21683069741082642,сливочное
1.16163240021378,0.8806961045708188,-0.011197829443751599,сливочное
1.0020949031887114,0.5732531007933693,-0.07634883711648818,сливочное
1.2414011487263141,0.8806961045708188,-0.20665085246196133,сливочное
0.6032511606260402,-2.2962149344628258,-1.411944494407588,фальсификат
-0.3539738215243707,-0.5540379130572787,-1.8354260442803758,фальсификат
-2.0291175402875896,0.8806961045708188,1.2592468201746116,кокосовое
-2.108886288800124,0.5732531007933693,0.9986427894836654,кокосовое
-1.6302737977249186,0.4707720995342195,1.389548835520085,кокосовое
-0.9123550611121104,-0.14411390802067944,1.9107568969019775,кокосовое
1.4009386457513826,1.2906201096074181,-0.3369528678074345,сливочное
0.7627886576511087,-1.8862909294262264,-1.3467934867348514,фальсификат
0.36394491508843746,0.5732531007933693,0.15167968973808985,сливочное
0.12463866955083475,0.8806961045708188,0.02137767439261669,сливочное
0.36394491508843746,0.26581009701591984,-0.07634883711648818,сливочное
0.523482412113506,0.16332909575677002,-0.17407534862559304,сливочное
-0.03489882747423373,-1.6813289269079268,-0.49983038698927595,фальсификат
-0.11466757598676797,0.8806961045708188,-0.10892434095285647,сливочное
-0.27420507301183644,1.2906201096074181,-0.20665085246196133,сливочное
-1.6302737977249186,-0.4515569117981289,1.8781813930656093,кокосовое
-0.27420507301183644,-0.24659490927982924,-1.737699532771271,фальсификат
0.9223261546761772,0.26581009701591984,-0.04377333328011989,сливочное
0.8425574061636429,0.5732531007933693,-0.2718018601346979,сливочное
-0.03489882747423373,-1.6813289269079268,-0.5324058908256443,фальсификат
1.0818636517012457,0.26581009701591984,-0.10892434095285647,сливочное
0.8425574061636429,0.3682910982750697,-0.011197829443751599,сливочное
-1.7898112947499871,-0.6565189143164285,1.519850850865558,кокосовое
